answerId,text,identificatorKey,identificatorId,identificatorReadableName,identificatorDescription,answer_configId,type,customer,virtualIntentName,intent,entityName,normalizedEntityValue,answer_channel,redirect_to_config,readable_redirect_to_config,cancelButtonLabel,entityId,entity_key,adaptive_cards_length,cards_length,button_length,buttons
128135,"Bei der jährlichen Abrechnung wird eine **Nachzahlung** fällig, wenn die monatlichen Abschlagszahlungen die tatsächlichen Kosten für den Verbrauch nicht abdecken. In diesem Fall wird der Differenzbetrag als **Nachzahlung** fällig. Details zur Zahlung oder Abbuchung sind auf der Rechnung zu finden.",,0,,,90815,multi,thuegaenergie,Erklärung zur Nachzahlung,additionalPaymentOverview,noneEntity,noneNormalizedValue,default,0,,abbrechen,0,,,0,0,
127801,Zum Themengebiet Leistungsanpassung bei Fernwärme habe ich aktuell leider keine Informationen ?? ,,0,,,88876,multi,thuegaenergie,Leistungsanpassung Fernwärme,adjustDistrictHeatCapacity,noneEntity,noneNormalizedValue,default,0,,abbrechen,0,,,0,0,
103226,Sie haben eine Frage zum Thema **Abschlagszahlung**?    Wählen Sie einfach eine der Optionen aus oder geben Sie unten eine andere Frage ein. ??,,0,,,52492,multi,thuegaenergie,Übersicht zur Abschlagszahlung,advancePaymentOverview,noneEntity,noneNormalizedValue,default,0,,Auswahl beenden,0,,,0,5,"[{""type"": ""messageBack"", ""order"": 4, ""title"": ""Abschlag ändern"", ""value"": ""Abschlag ändern"", ""answer_config"": 50152, ""identificator"": null}, {""type"": ""messageBack"", ""order"": 3, ""title"": ""Abschlagsfälligkeit ändern"", ""value"": ""Abschlagsfälligkeit ändern"", ""answer_config"": 50158, ""identificator"": null}, {""type"": ""messageBack"", ""order"": 2, ""title"": ""Aktuellen Abschlag einsehen"", ""value"": ""Aktuellen Abschlag einsehen"", ""answer_config"": 50162, ""identificator"": null}, {""type"": ""messageBack"", ""order"": 5, ""title"": ""Bankverbindung ändern"", ""value"": ""Bankverbindung ändern"", ""answer_config"": 50154, ""identificator"": null}, {""type"": ""messageBack"", ""order"": 1, ""title"": ""Wie errechnet sich mein Abschlag?"", ""value"": ""Was versteht man unter Abschlagszahlung?"", ""answer_config"": 50179, ""identificator"": null}]"
102095,"Sie haben die Möglichkeit, Ihren Abschlag **12x im Jahr** zu erhöhen und **12x im Jahr** um bis zu 20% zu senken.  Wenn Sie Ihren Abschlag um mehr als 20 % senken, wird dies von einem Sacharbeiter geprüft. Dies kann zu Nachzahlungen führen.   Ihren Abschlag können Sie schnell und unkompliziert in unserem Kundenportal ändern",,0,,,50150,multi,thuegaenergie,Anpassungsgrenzen beim Abschlag,AP_adjustmentLimit,noneEntity,noneNormalizedValue,default,0,,Auswahl beenden,0,,,0,1,"[{""type"": ""openUrl"", ""order"": 1, ""title"": ""Zum Kundenportal ?"", ""value"": ""https://www.thuega-energie-gmbh.de/kundenportal"", ""answer_config"": null, ""identificator"": null}]"
127416,Abschlag neu in €*:,changeamountLabel,516,neue Abschlagshöhe,Die Beschriftung des Felds: neue Abschlagshöhe,68527,UpdatePayPlanAdaptiveCardDialog,thuegaenergie,Abschlag ändern,AP_changeAmount,noneEntity,noneNormalizedValue,default,0,,abbrechen,0,,,0,0,
127417,Gültig ab*:,effectivedateLabel,518,Gültigkeitsdatum ,"Die Beschriftung des Felds: Gültigkeitsdatum der gewünschten Abschlagsänderung (z.B. ""gültig ab:"")",68527,UpdatePayPlanAdaptiveCardDialog,thuegaenergie,Abschlag ändern,AP_changeAmount,noneEntity,noneNormalizedValue,default,0,,abbrechen,0,,,0,0,
127418,Vielen Dank für Ihre Mitteilung! Ihre Daten wurden erfasst und werden jetzt von meinen menschlichen ##colleagueplural## geprüft und weiter bearbeitet. Anschließend erhalten Sie von uns eine schriftliche Bestätigung.,ending,521,Text nach Formular,Nachricht nach Adaptive Card (Formular) für die Abschlagsänderung,68527,UpdatePayPlanAdaptiveCardDialog,thuegaenergie,Abschlag ändern,AP_changeAmount,noneEntity,noneNormalizedValue,default,0,,abbrechen,0,,,0,0,
127419,20012345,contractAccountNumberPlaceholder,934,Platzhalter der Vertragskontonummer,Der Platzhalter für das Feld Vertragskontonummer,68527,UpdatePayPlanAdaptiveCardDialog,thuegaenergie,Abschlag ändern,AP_changeAmount,noneEntity,noneNormalizedValue,default,0,,abbrechen,0,,,0,0,
127420,1001234,customerNumberPlaceholder,902,Platzhalter der Kundennummer,Der Platzhalter für das Feld Kundennummer,68527,UpdatePayPlanAdaptiveCardDialog,thuegaenergie,Abschlag ändern,AP_changeAmount,noneEntity,noneNormalizedValue,default,0,,abbrechen,0,,,0,0,
127421,Zählernummer*,meterNumberLabel,514,Zählernummer,Die Beschriftung des Felds: Zählernummer,68527,UpdatePayPlanAdaptiveCardDialog,thuegaenergie,Abschlag ändern,AP_changeAmount,noneEntity,noneNormalizedValue,default,0,,abbrechen,0,,,0,0,
127422,"Leider konnte ihre Abschlagshöhe im System nicht angepasst werden ??  Dies kann mehrere Gründe haben, z.B.: - Abschlag wurde erst kürzlich geändert - Es gibt keine fälligen Abschläge mehr - Ein technisches Problem ist aufgetreten  Versuchen Sie es bitte zu einem späteren Zeitpunkt erneut oder wenden Sie sich an unseren Kundenservice ??",errorText,864,Error - Text,"Die Nachricht wird angezeigt, wenn der Abschlag nicht per API geändert werden konnte und stattdessen per Email versendet wurde.",68527,UpdatePayPlanAdaptiveCardDialog,thuegaenergie,Abschlag ändern,AP_changeAmount,noneEntity,noneNormalizedValue,default,0,,abbrechen,0,,,0,1,"[{""type"": ""messageBack"", ""order"": 1, ""title"": ""Kundenservice"", ""value"": ""Kundenservice"", ""answer_config"": 50385, ""identificator"": null}]"
127423,1ISK0012345678,meterNumberPlaceholder,941,Platzhalter Zählernummer Abschlag,Platzhalter für Zählernummern in der Abschlagsänderung,68527,UpdatePayPlanAdaptiveCardDialog,thuegaenergie,Abschlag ändern,AP_changeAmount,noneEntity,noneNormalizedValue,default,0,,abbrechen,0,,,0,0,
127424,Vertragskontonummer*,contractAccountNumberLabel,933,Vertragskontonummer,Die Beschriftung des Felds: Vertragskontonummer,68527,UpdatePayPlanAdaptiveCardDialog,thuegaenergie,Abschlag ändern,AP_changeAmount,noneEntity,noneNormalizedValue,default,0,,abbrechen,0,,,0,0,
102143,Ihre **Bankverbindung** können Sie ganz einfach im Online-Service ändern:,,0,,,50154,multi,thuegaenergie,Bankverbindung ändern,AP_changeBankAccount,noneEntity,noneNormalizedValue,default,0,,Auswahl beenden,0,,,0,1,"[{""type"": ""openUrl"", ""order"": 1, ""title"": ""Kundenportal ?"", ""value"": ""https://www.thuega-energie-gmbh.de/kundenportal"", ""answer_config"": null, ""identificator"": null}]"
102324,"Die **Jahresverbrauchsrechnung wird für gewöhnlich 12 Monate nach dem Beginn Ihrer Belieferung erstellt.** Sie wird auf Basis eines aktuellen Zählerstandes erstellt und per E-Mail sowie an ihr Postfach im Kundenportal versendet.    Im Kundenportal gibt es zudem die Funktion **Abschlagsprüfung durchführen**. Dort haben Sie die Möglichkeit einen Zählerstand zum gewünschten Stichtag einzugeben. Das Abrechnungssystem berechnet dann den Gesamtbetrag, die geleisteten Abschläge und ob es zu einer Nachzahlung oder einem Guthaben zum Zeitpunkt Ihres eingegebenen Stichtags kommt. Die simulierten Informationen sind ausschließlich zu Ihrer Information gedacht.    Möchten Sie stattdessen das Fälligkeitsdatum ihres Abschlags ändern? Klicken Sie auf den zweiten Button!  Bei allen Detailfragen hilft Ihnen auch unser Live-Chat. ??",,0,,,50156,multi,thuegaenergie,Abrechnungsturnus ändern,AP_changeBillingPeriod,noneEntity,noneNormalizedValue,default,0,,Auswahl beenden,0,,,0,3,"[{""type"": ""messageBack"", ""order"": 2, ""title"": "" Fälligkeit des Abschlags ändern"", ""value"": ""Fälligkeitsdatum ändern"", ""answer_config"": 50158, ""identificator"": null}, {""type"": ""openUrl"", ""order"": 1, ""title"": ""Zum Kundenportal ?"", ""value"": ""https://www.thuega-energie-gmbh.de/kundenportal"", ""answer_config"": null, ""identificator"": null}, {""type"": ""messageBack"", ""order"": 3, ""title"": ""Zum Live-Chat "", ""value"": ""Zum Live-Chat"", ""answer_config"": 50218, ""identificator"": null}]"
102096,"Den Fälligkeitstermin des Abschlags können Sie im Kundenportal unter **""Mein Abschlagsplan""** einsehen. Leider ist eine Änderung des Fälligkeitsdatums Ihres Abschlags nicht möglich. Bitte stellen Sie daher sicher, dass zum Abbuchungstermin eine ausreichende Kontodeckung vorliegt.   Sie haben aber die Möglichkeit, die **Höhe Ihrer Abschlagszahlung** im Rahmen bestimmter Grenzen anzupassen. Dies können Sie schnell und unkompliziert online in unserem Kundenportal erledigen:  ",,0,,,50158,multi,thuegaenergie,Fälligkeitsdatum des Abschlag ändern,AP_changeDueDate,noneEntity,noneNormalizedValue,default,0,,Auswahl beenden,0,,,0,1,"[{""type"": ""openUrl"", ""order"": 1, ""title"": ""Kundenportal ?"", ""value"": ""https://www.thuega-energie-gmbh.de/kundenportal"", ""answer_config"": null, ""identificator"": null}]"
102099,Sie haben ein Problem mit **Ihrem Abschlag oder Ihrer Rechnung**?   Mit einem Klick auf **Menü** werden Ihnen die Themen angezeigt bei denen ich Ihnen weiterhelfen kann ??  Alternativ kann Ihnen bestimmt einer meiner menschlichen ##colleagueplural## weiterhelfen. Verwenden Sie hierfür unseren **Live-Chat** (Mo. - Fr.: 08:00 - 18:00).,,0,,,50160,multi,thuegaenergie,Probleme mit der Rechnung oder dem Abschlag,AP_complaint,noneEntity,noneNormalizedValue,default,0,,? Auswahl beenden,0,,,0,2,"[{""type"": ""messageBack"", ""order"": 2, ""title"": ""Live-Chat"", ""value"": ""Live-Chat"", ""answer_config"": 50218, ""identificator"": null}, {""type"": ""messageBack"", ""order"": 1, ""title"": ""Menü"", ""value"": ""Menü"", ""answer_config"": 50220, ""identificator"": null}]"
102094,"Den **Fälligkeitstermin für Ihren Abschlag** sowie die **Höhe Ihres Abschlags** finden Sie im Kundenportal unter ""Mein Abschlagsplan""   ?? Sie finden diesen auch in der Vertragsbestätigung bzw. Ihrem Begrüßungsschreiben. Der neue Abschlagsplan kommt i.d.R. mit der Jahresrechnung.  ",,0,,,50162,multi,thuegaenergie,Aktuellen Abschlag und Fälligkeit anzeigen,AP_currentAmountAndDueDate,noneEntity,noneNormalizedValue,default,0,,Auswahl beenden,0,,,0,1,"[{""type"": ""openUrl"", ""order"": 1, ""title"": ""Kundenportal ?"", ""value"": ""https://www.thuega-energie-gmbh.de/kundenportal"", ""answer_config"": null, ""identificator"": null}]"
102140,"Damit wir Ihre aktuellen Zahlungen mit Ihnen zusammen prüfen können, freuen wir uns über eine E-Mail ?? von Ihnen!",,0,,,50164,multi,thuegaenergie,Offene Beträge/Rechnungen,AP_debitorAccount,noneEntity,noneNormalizedValue,default,0,,Auswahl beenden,0,,,0,1,"[{""type"": ""messageBack"", ""order"": 1, ""title"": ""Kontaktdaten"", ""value"": ""Kontaktdaten"", ""answer_config"": 50365, ""identificator"": null}]"
102305,Vielen Dank! Ich habe Ihre Daten erfasst und leite diesen an unseren Kundenservice weiter.,afterAdaptiveCard,535,Text nach Formular,"Text, welcher nach der Adaptive Card (Formular) angezeigt wird",50165,AdaptiveCardDialog,thuegaenergie,Zahlungsschwierigkeiten,AP_deferPayment,noneEntity,noneNormalizedValue,default,0,,? Auswahl beenden,0,,1,0,0,
102306,Ja,choiceLabel1,686,Auswahl1,Bezeichung für einen Auswahl - button,50165,AdaptiveCardDialog,thuegaenergie,Zahlungsschwierigkeiten,AP_deferPayment,noneEntity,noneNormalizedValue,default,0,,? Auswahl beenden,0,,1,0,0,
102307,Nein,choiceLabel2,687,Auswahl2,Bezeichung für einen Auswahl - button,50165,AdaptiveCardDialog,thuegaenergie,Zahlungsschwierigkeiten,AP_deferPayment,noneEntity,noneNormalizedValue,default,0,,? Auswahl beenden,0,,1,0,0,
102308,"Alles klar! ????\ Falls Sie doch Schwierigkeiten haben sollten, melden Sie sich jederzeit bei uns! ",choiceAnswer2,697,Antwort2,Antwort für eine Auswahl,50165,AdaptiveCardDialog,thuegaenergie,Zahlungsschwierigkeiten,AP_deferPayment,noneEntity,noneNormalizedValue,default,0,,? Auswahl beenden,0,,1,0,0,
102309,In Einzelfällen kann eine Ratenzahlung für die Begleichung ausstehender Fälligkeiten vereinbart werden. Möchten Sie einen Ratenplan beantragen?,selectChoiceText,706,Auswahl-Text,"Der Text, der über den Auswahl - Buttons erscheint",50165,AdaptiveCardDialog,thuegaenergie,Zahlungsschwierigkeiten,AP_deferPayment,noneEntity,noneNormalizedValue,default,0,,? Auswahl beenden,0,,1,0,0,
102097,Für Ihre regelmäßigen Abschlagszahlungen haben Sie folgende **Zahlungsmöglichkeiten** ??  ,beforeCarousel,529,Text vor Karussell,"Nachricht, die vor dem Karussell angezeigt wird.",50167,CarouselDialog,thuegaenergie,Angebotene Zahlungsarten,AP_offeredPaymentOptions,noneEntity,noneNormalizedValue,default,0,,? Auswahl beenden,0,,,2,0,
