id,SkillName,active,skillId,defaultEntityVirtualIntentName
additionalPaymentOverview,AdvancePaymentSkill,0,AP,Erklärung zur Nachzahlung
advancePaymentOverview,AdvancePaymentSkill,1,AP,Übersicht zur Abschlagszahlung
AP_adjustmentLimit,AdvancePaymentSkill,1,AP,Anpassungsgrenzen beim Abschlag
AP_changeAmount,AdvancePaymentSkill,1,AP,Abschlag ändern
AP_changeBankAccount,AdvancePaymentSkill,1,AP,Bankverbindung ändern
AP_changeBillingPeriod,AdvancePaymentSkill,1,AP,Abrechnungsturnus ändern
AP_changeDueDate,AdvancePaymentSkill,1,AP,Fälligkeitsdatum des Abschlag ändern
AP_complaint,AdvancePaymentSkill,1,AP,Probleme mit der Rechnung oder dem Abschlag
AP_currentAmountAndDueDate,AdvancePaymentSkill,1,AP,Aktuellen Abschlag und Fälligkeit anzeigen
AP_debitorAccount,AdvancePaymentSkill,1,AP,Offene Beträge/Rechnungen
AP_deferPayment,AdvancePaymentSkill,1,AP,Zahlungsschwierigkeiten
AP_offeredPaymentOptions,AdvancePaymentSkill,1,AP,Angebotene Zahlungsarten
AP_payPlan,AdvancePaymentSkill,1,AP,Zahlplan
AP_reasonForPriceIncrease,AdvancePaymentSkill,1,AP,Preiserhöhung
AP_refundCredit,AdvancePaymentSkill,1,AP,Guthabenerstattung
AP_reminder,AdvancePaymentSkill,1,AP,Mahnung
AP_returnDebitFee,AdvancePaymentSkill,0,AP,Rücklastschrift
AP_SEPAmandate,AdvancePaymentSkill,1,AP,Formular für Lastschriftmandate
AP_whatIsAdvancePayment,AdvancePaymentSkill,1,AP,Erklärung zur Abschlagszahlung
ascertainPaymentAmount,AdvancePaymentSkill,1,AP,Abschlagsprüfung
billOverview,AdvancePaymentSkill,1,AP,Rechnungen einsehen
billTime,AdvancePaymentSkill,1,AP,Rechnungszeitpunkt
changeAmountForm,AdvancePaymentSkill,0,AP,Abschlagsänderung (Formular)
discountAdvancePayment,AdvancePaymentSkill,1,AP,Rabatt bei Vorauszahlung
explainBenefitSepaMandate,AdvancePaymentSkill,1,AP,Mehrwert vom Lastschriftmandat
getBankTransferDetails,AdvancePaymentSkill,1,AP,Überweisungsdaten anzeigen
infoAboutPriceIncrease,AdvancePaymentSkill,1,AP,Information zu Preisanpassungen
lumpSum,AdvancePaymentSkill,1,AP,Kostenpauschalen
reasonForPaymentAmountChange,AdvancePaymentSkill,1,AP,Grund der Abschlagsänderung
reportIncorrectDebit,AdvancePaymentSkill,1,AP,Fehlerhafte Abbuchung
requestBillingService,AdvancePaymentSkill,1,AP,Zwischenrechnung oder Rechnungssimulation anfordern
activationKey,BasisFAQSkill,0,FAQ,Aktivierungsschlüssel
appDownload,BasisFAQSkill,1,FAQ,App
blackout,BasisFAQSkill,1,FAQ,Störung melden
careerFAQ,BasisFAQSkill,0,FAQ,Konkrete Fragen zum Thema Karriere
caseOfDeath,BasisFAQSkill,1,FAQ,Todesfall
changePassword,BasisFAQSkill,1,FAQ,Zugangsdaten anfordern
CQA,BasisFAQSkill,0,FAQ,CQA
currentMarketSituation,BasisFAQSkill,1,FAQ,Information zur aktuellen Marktlage
customerPortal,BasisFAQSkill,1,FAQ,Kundenportal
cyberAttack,BasisFAQSkill,1,FAQ,Cyberangriff
disclosureRequirementsGridOperator,BasisFAQSkill,1,FAQ,Veröffentlichungspflichten Netzbetreiber
doorstepSelling,BasisFAQSkill,1,FAQ,Haustürgeschäfte
energyMarketRoles,BasisFAQSkill,0,FAQ,Rollen im Energiewirtschaftssektor
energyProductContract,BasisFAQSkill,1,FAQ,EVU-Vertriebsanfragen
explainInactiveAccount,BasisFAQSkill,0,FAQ,explainInactiveAccount
gasPriceBrake,BasisFAQSkill,1,FAQ,Gaspreisbremse
generalMandate,BasisFAQSkill,1,FAQ,Vollmacht
immediateRelief,BasisFAQSkill,1,FAQ,Soforthilfe
loginIssues,BasisFAQSkill,1,FAQ,Login-Probleme
missingEmail,BasisFAQSkill,1,FAQ,E-Mail Empfangsprobleme
powerPriceBrake,BasisFAQSkill,1,FAQ,Strompreisbremse
priceControlDisbursement,BasisFAQSkill,1,FAQ,Auszahlung der Preisbremsen
projectedConsumption,BasisFAQSkill,1,FAQ,Verbrauchsprognose
reliefCalculation,BasisFAQSkill,1,FAQ,Berechnung der Preisbremsen
reliefPackage,BasisFAQSkill,1,FAQ,Entlastungspaket
SM_advancePayment,BasisFAQSkill,0,FAQ,Abschlag
SM_babyBonus,BasisFAQSkill,0,FAQ,Baby-Bonus
SM_basicOrReplacementSupplier,BasisFAQSkill,1,FAQ,Unterschied Grund- &  Ersatzversorger
SM_blackout,BasisFAQSkill,0,FAQ,Störung
SM_blackoutDistrictHeat,BasisFAQSkill,0,FAQ,Störung Fernwärme
SM_blackoutElectricity,BasisFAQSkill,0,FAQ,Stromausfall
SM_blackoutGas,BasisFAQSkill,0,FAQ,Gasstörung
SM_blackoutStreet,BasisFAQSkill,0,FAQ,Defekte Straßenlaterne melden
SM_blackoutWater,BasisFAQSkill,0,FAQ,Wasserschaden/Störung Wasser
SM_bouncyCastle,BasisFAQSkill,0,FAQ,Hüpfburg
SM_buildingYard,BasisFAQSkill,0,FAQ,Bauhof
SM_campingSite,BasisFAQSkill,0,FAQ,Campingplatz
SM_career,BasisFAQSkill,1,FAQ,Karriere
SM_certifications,BasisFAQSkill,1,FAQ,Zertifizierungen
SM_changeCustomerData,BasisFAQSkill,1,FAQ,Kundendaten ändern
SM_cinema,BasisFAQSkill,0,FAQ,(Open-Air) Kino
SM_cityBus,BasisFAQSkill,0,FAQ,Stadtbus und Fahrplanauskunft
SM_cloudService,BasisFAQSkill,1,FAQ,Cloudia Dokumanager
SM_compliance,BasisFAQSkill,0,FAQ,Compliance
SM_constructionSite,BasisFAQSkill,1,FAQ,Informationen zu Baustellen/-maßnahmen
SM_contractingDistrictHeat,BasisFAQSkill,0,FAQ,Contracting Wärme
SM_coronaVAT,BasisFAQSkill,0,FAQ,Mehrwertsteuersenkung wegen Corona
SM_crowdFunding,BasisFAQSkill,0,FAQ,Crowdfunding
SM_currentEvents,BasisFAQSkill,1,FAQ,Aktuelle Veranstaltungen
SM_currentNews,BasisFAQSkill,1,FAQ,Aktuelle Meldungen
SM_customerData,BasisFAQSkill,0,FAQ,Kundendaten
SM_customerPortal,BasisFAQSkill,0,FAQ,Passwort für Kundenportal vergessen
SM_customerReferral,BasisFAQSkill,1,FAQ,Kunden-werben-Kunden
SM_customerService,BasisFAQSkill,1,FAQ,Kundenservice
SM_customerSurvey,BasisFAQSkill,0,FAQ,Kundenbefragung
SM_dataPrivacy,BasisFAQSkill,1,FAQ,Datenschutz und Datensicherheit
